timestamp,Chan_0_1,Chan_0_2,Chan_1_2,Latitude,Longitude,Altitude (m),index,Temperature,Relative Pressure,Humidity,Absolute Pressure (inHg),Temperature_SM,RelativePressure_SM,Humidity_SM
2023-03-18 19:44:00,21.0,17.0,24.0,33.755906,-84.387874,346.9002838,338.0,48.7,30.12,35.0,28.96,48.0,28.96,41.0
2023-03-18 19:45:00,18.0,20.0,28.0,33.751984,-84.378474,304.8374466,338.0,48.7,30.12,35.0,28.96,48.0,28.96,41.0
2023-03-18 19:46:00,19.0,22.0,29.0,33.751303,-84.37924,305.4080278,337.8,48.7,30.12,35.0,28.964000000000002,48.0,28.964000000000002,41.0
2023-03-18 19:47:00,19.0,13.0,26.0,33.750129,-84.379599,312.089753,337.6,48.7,30.12,35.0,28.968,48.0,28.968,41.0
2023-03-18 19:48:00,20.0,13.0,33.0,33.749779,-84.379577,313.1589155,337.4,48.7,30.12,35.0,28.972,48.0,28.972,41.0
2023-03-18 19:49:00,17.0,15.0,35.0,33.749602,-84.376708,309.6243046,337.2,48.7,30.12,35.0,28.976,48.0,28.976,41.0
2023-03-18 19:50:00,23.0,21.0,29.0,33.746809,-84.375617,317.2485246,337.0,48.7,30.12,35.0,28.98,48.0,28.98,41.0
2023-03-18 19:51:00,22.0,16.0,27.0,33.746705,-84.368378,305.8276565,336.8,48.68,30.12,35.2,28.98,48.0,28.98,42.2
2023-03-18 19:52:00,21.0,16.0,31.0,33.746662,-84.365672,303.029035,336.6,48.660000000000004,30.12,35.4,28.98,48.0,28.98,43.4
2023-03-18 19:53:00,20.0,10.0,23.0,33.746598,-84.359324,305.5493477,336.4,48.64,30.12,35.6,28.98,48.0,28.98,44.6
2023-03-18 19:54:00,13.0,14.0,22.0,33.743602,-84.358266,301.8049628,336.2,48.620000000000005,30.12,35.8,28.98,48.0,28.98,45.8
2023-03-18 19:55:00,17.0,18.0,33.0,33.742135,-84.358215,300.997809,336.0,48.6,30.12,36.0,28.98,48.0,28.98,47.0
2023-03-18 19:56:00,25.0,20.0,30.0,33.742104,-84.360334,296.5871302,335.8,48.6,30.12,36.0,28.98,47.86,28.98,48.0
2023-03-18 19:57:00,20.0,13.0,22.0,33.741365,-84.360335,294.5034689,335.6,48.6,30.12,36.0,28.98,47.72,28.98,49.0
2023-03-18 19:58:00,21.0,19.0,29.0,33.741364,-84.36032,294.601948,335.4,48.6,30.12,36.0,28.98,47.58,28.98,50.0
2023-03-18 19:59:00,17.0,13.0,20.0,33.74204,-84.359626,296.1091719,335.2,48.6,30.12,36.0,28.98,47.44,28.98,51.0
2023-03-18 20:00:00,25.0,18.0,31.0,33.741856,-84.358324,300.6088159,335.0,48.6,30.12,36.0,28.98,47.3,28.98,52.0
2023-03-18 20:01:00,24.0,23.0,29.0,33.742779,-84.358182,301.4705942,334.8,48.6,30.122,36.2,28.98,47.22,28.98,51.0
2023-03-18 20:02:00,14.0,16.0,20.0,33.746242,-84.358192,306.5479253,334.6,48.6,30.124,36.4,28.98,47.14,28.98,50.0
2023-03-18 20:03:00,18.0,16.0,27.0,33.746415,-84.358172,307.5625819,334.4,48.6,30.126,36.6,28.98,47.059999999999995,28.98,49.0
2023-03-18 20:04:00,18.0,17.0,27.0,33.746421,-84.358157,308.1049465,334.2,48.6,30.128,36.8,28.98,46.98,28.98,48.0
2023-03-18 20:05:00,20.0,18.0,27.0,33.746718,-84.364037,295.8921628,334.0,48.6,30.13,37.0,28.98,46.9,28.98,47.0
2023-03-18 20:06:00,17.0,11.0,23.0,33.746795,-84.367624,304.3508138,333.8,48.6,30.131999999999998,37.0,28.98,46.879999999999995,28.98,47.2
2023-03-18 20:07:00,17.0,15.0,22.0,33.747746,-84.368051,301.7571378,333.6,48.6,30.134,37.0,28.98,46.86,28.98,47.4
2023-03-18 20:08:00,15.0,11.0,26.0,33.750431,-84.37049,309.4061512,333.4,48.6,30.136,37.0,28.98,46.839999999999996,28.98,47.6
2023-03-18 20:09:00,15.0,15.0,23.0,33.753856,-84.372077,312.9735526,333.2,48.6,30.138,37.0,28.98,46.82,28.98,47.8
2023-03-18 20:10:00,15.0,12.0,35.0,33.756328,-84.372109,310.6818202,333.0,48.6,30.14,37.0,28.98,46.8,28.98,48.0
2023-03-18 20:11:00,19.0,16.0,20.0,33.762886,-84.371932,316.3742911,332.8,48.6,30.14,37.4,28.982,46.82,28.982,47.6
2023-03-18 20:12:00,22.0,17.0,24.0,33.769234,-84.371824,307.9788055,332.6,48.6,30.14,37.8,28.983999999999998,46.839999999999996,28.983999999999998,47.2
